smiles,orig_smiles,steps,orig_index,is_solved,pipeline_status,syba_score,syba,sa,sc
COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,1,54,True,no_warn,91.39204223034848,91.39204223034847,2.077671303066275,2.9357361624865304
CN(C)C(=N)NC(=N)N,CN(C)C(=N)NC(=N)N,1,55,True,no_warn,3.972805049361888,3.972805049361888,3.6740720631696133,2.184694607118895
Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1,1,56,True,no_warn,14.884268050656082,14.884268050656082,2.6852735975713724,3.772508840234229
NC(=O)c1cnccn1,NC(=O)c1cnccn1,1,57,True,no_warn,32.58283326345998,32.58283326345998,2.1664200072255575,1.692781070595945
CNCCCC1c2ccccc2C=Cc2ccccc21,CNCCCC1c2ccccc2C=Cc2ccccc21,3,58,True,no_warn,-22.13476092617259,-22.13476092617259,2.3646315711411123,3.224277132130051
Nc1ccc(C(=O)NCC(=O)O)cc1,Nc1ccc(C(=O)NCC(=O)O)cc1,1,59,True,no_warn,42.93811852201167,42.93811852201167,1.6145417192953762,1.830847217928119
CN1C(=O)OC(C)(C)C1=O,CN1C(=O)OC(C)(C)C1=O,1,60,True,no_warn,-5.199347838966068,-5.199347838966068,2.7636189051370526,2.4378829376223266
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,3,61,True,no_warn,16.57949151407333,16.57949151407333,2.094193815999313,3.2678618979832437
Nc1nc(=S)c2[nH]cnc2[nH]1,Nc1nc(=S)c2[nH]cnc2[nH]1,1,62,True,no_warn,16.036585587426014,16.036585587426014,3.3037189467190657,2.5005906069820574
O=c1[nH]c2cc(Cl)ccc2o1,O=c1[nH]c2cc(Cl)ccc2o1,1,63,True,no_warn,41.83947502450881,41.83947502450881,2.1890499640887917,2.0352897321798373
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,1,64,True,no_warn,85.89338488299241,85.89338488299241,1.953467543379018,2.153423646047627
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,2,65,True,no_warn,20.923872957551996,20.923872957551993,2.3343691644778524,3.880818296589117
CCCC(C)(COC(N)=O)COC(N)=O,CCCC(C)(COC(N)=O)COC(N)=O,1,66,True,no_warn,20.22272897446164,20.222728974461642,2.820030160224036,2.4814292749065303
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,9,67,True,no_warn,92.60832763631544,92.60832763631544,2.432617295820494,4.346363581040952
Nc1c2c(nc3ccccc13)CCCC2,Nc1c2c(nc3ccccc13)CCCC2,1,68,True,no_warn,50.49022389550549,50.490223895505494,2.0147191327899314,2.8025041143921947
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1,69,True,no_warn,49.01804194470312,49.018041944703114,2.356423302498877,3.0371505047713026
CCOC(=O)n1ccn(C)c1=S,CCOC(=O)n1ccn(C)c1=S,1,70,True,no_warn,26.428158497815996,26.428158497815993,2.9743487729463,2.0569517369270995
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,1,71,True,no_warn,186.5131552695,186.5131552695,2.267021725109851,4.175339132695516
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,2,72,True,no_warn,31.27711190543865,31.277111905438655,3.3020625466428912,2.603668631988603
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,73,True,no_warn,38.03414768608671,38.03414768608671,2.3414865783406036,3.9341386450115046
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,10,74,False,no_warn,47.46122326134002,47.46122326134002,2.7711809174437274,1.7483393665899838
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,2,75,True,no_warn,47.23301758434821,47.233017584348204,2.2951514836512157,4.050910709713956
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1,76,True,no_warn,90.56258804897344,90.56258804897344,1.947418691360781,2.368652212635986
CN(C)CCCN1c2ccccc2Sc2ccccc21,CN(C)CCCN1c2ccccc2Sc2ccccc21,3,77,True,no_warn,59.53572823692736,59.53572823692736,2.0252149996354696,2.9940590215927303
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,4,78,True,no_warn,84.77342173297491,84.77342173297491,2.2515344845122947,4.037924210222506
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,2,79,True,no_warn,42.10973444693376,42.109734446933764,2.806858282589218,3.7822671917918345
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,2,80,True,no_warn,95.042215874445,95.04221587444499,2.206637326798349,3.8456042006270446
CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,1,81,True,no_warn,-12.834111667960409,-12.834111667960407,2.38400548736427,2.622339492912474
[N]=O,[N]=O,0,82,False,no_warn,10.069548296267188,10.069548296267188,3.942075611257085,1.2797396734930424
Oc1ncnc2[nH]ncc12,Oc1ncnc2[nH]ncc12,1,83,True,no_warn,17.17376058751989,17.17376058751989,2.987180242007078,2.4183602121555485
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,1,84,True,no_warn,67.29757494472179,67.29757494472179,2.2113109944374756,3.3576079605671776
CCOC(=O)C1(c2ccccc2)CCN(C)CC1,CCOC(=O)C1(c2ccccc2)CCN(C)CC1,1,85,True,no_warn,51.81482263492813,51.814822634928134,2.082369272145762,2.634632193163167
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,4,86,True,no_warn,51.7539552770888,51.7539552770888,2.517175074264058,3.5237575679435054
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,1,87,True,no_warn,126.02697290342104,126.02697290342105,2.3020663908165098,4.022138111511431
CN(C)CCCN1c2ccccc2CCc2ccccc21,CN(C)CCCN1c2ccccc2CCc2ccccc21,2,88,True,no_warn,50.05601650939083,50.05601650939083,1.933124074404427,3.0929813604407754
COc1ccc2cc(CCC(C)=O)ccc2c1,COc1ccc2cc(CCC(C)=O)ccc2c1,1,89,True,no_warn,98.53687708451316,98.53687708451316,1.7162685049174797,2.401492552333514
CCC1(CC)C(=O)NC(=O)N(C)C1=O,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1,90,True,no_warn,3.748341101941184,3.7483411019411843,2.7668421241536763,2.3550956533845833
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)nc21,5,91,True,no_warn,15.512137204944189,15.512137204944189,2.530943378743064,3.965778886725559
CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,CN1C(C(=O)Nc2ccccn2)=C(O)c2sccc2S1(=O)=O,8,92,False,no_warn,27.31040319619626,27.31040319619626,2.820700154160276,4.00140511611583
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,2,93,True,no_warn,79.00565852200405,79.00565852200405,2.1401928512014,3.3613235286093257
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,2,94,True,no_warn,121.82593472124024,121.82593472124023,2.3941419315838566,4.341469724558943
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,1,95,True,no_warn,90.85376902656488,90.85376902656489,2.144357116765935,3.4122084682691702
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,3,96,True,no_warn,58.81490588761263,58.814905887612625,3.257653489581986,2.2203937308281483
Brc1c(NC2=NCCN2)ccc2nccnc12,Brc1c(NC2=NCCN2)ccc2nccnc12,1,97,True,no_warn,16.913519589266294,16.913519589266294,2.8483911972251708,3.4348190996306123
CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,2,98,True,no_warn,59.88267807150866,59.882678071508664,2.3046118249690384,4.187380833111032
CN(C)c1nc(N(C)C)nc(N(C)C)n1,CN(C)c1nc(N(C)C)nc(N(C)C)n1,1,99,True,no_warn,26.005653272707622,26.005653272707622,2.365282665481141,2.2293591438641096
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,1,100,True,no_warn,93.8164982378686,93.8164982378686,2.9974214973831472,4.350945493168036
O=C1c2ccccc2C(=O)C1c1ccccc1,O=C1c2ccccc2C(=O)C1c1ccccc1,1,101,True,no_warn,14.137537038699922,14.137537038699922,1.8469438188892209,2.135875187853027
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,1,102,True,no_warn,44.20686876237518,44.20686876237518,2.1264773458913826,3.2404535604476945
